"Date","REGN.Open","REGN.High","REGN.Low","REGN.Close","REGN.Volume","REGN.Adjusted"
"2019-03-07",422.899993896484,422.899993896484,409.190002441406,409.579986572266,1020800,406.224792480469
"2019-03-08",407.510009765625,407.510009765625,399.579986572266,402.640014648438,1091700,399.341705322266
"2019-03-11",404.149993896484,413.209991455078,402.25,412.049987792969,874200,408.674591064453
"2019-03-12",413.559997558594,421.799987792969,411.190002441406,417.619995117188,839700,414.198974609375
"2019-03-13",419.380004882812,419.600006103516,408.529998779297,409.010009765625,988800,405.659515380859
"2019-03-14",409.890014648438,412.359985351562,406.339996337891,407.5,925200,404.161865234375
"2019-03-15",408.470001220703,415,408.399993896484,414.470001220703,1158500,411.074798583984
"2019-03-18",410,413.760009765625,404.839996337891,407.600006103516,545700,404.261047363281
"2019-03-19",407.739990234375,409.720001220703,404.399993896484,406.989990234375,627900,403.656036376953
"2019-03-20",407.790008544922,409.679992675781,402.820007324219,405.5,479500,402.178253173828
"2019-03-21",401,405.119995117188,396.839996337891,402.589996337891,880900,399.292053222656
"2019-03-22",401.480010986328,402.589996337891,391.429992675781,391.799987792969,552600,388.590484619141
"2019-03-25",391.420013427734,397.609985351562,388.489990234375,395,431600,391.764221191406
"2019-03-26",398.779998779297,406.230010986328,398.519989013672,405.619995117188,674800,402.297241210938
"2019-03-27",405.070007324219,407.450012207031,398.359985351562,402.869995117188,450800,399.569793701172
"2019-03-28",405.670013427734,408.309997558594,402.299987792969,404.829986572266,436300,401.513702392578
"2019-03-29",406.739990234375,412.600006103516,406.739990234375,410.619995117188,492300,407.256286621094
"2019-04-01",412.510009765625,412.899993896484,408,410.049987792969,496500,406.691009521484
"2019-04-02",411.350006103516,415.890014648438,407.559997558594,414.820007324219,513000,411.421936035156
"2019-04-03",414.339996337891,415.160003662109,400.839996337891,407,789300,403.665985107422
"2019-04-04",408,410.799987792969,400.829986572266,406.529998779297,517300,403.199798583984
"2019-04-05",408.170013427734,412.630004882812,406.549987792969,408.940002441406,657400,405.590057373047
"2019-04-08",408.079986572266,410.940002441406,396,401.260009765625,703800,397.972991943359
"2019-04-09",400,400.339996337891,395.140014648438,395.730010986328,577700,392.48828125
"2019-04-10",397.179992675781,408.480010986328,394.329986572266,408.230010986328,579700,404.885864257812
"2019-04-11",410,410.190002441406,391.730010986328,393.480010986328,843500,390.256744384766
"2019-04-12",393.170013427734,394.5,381.179992675781,382.940002441406,1254100,379.803070068359
"2019-04-15",382.809997558594,385.989990234375,375.200012207031,375.5,811500,372.424041748047
"2019-04-16",377.899993896484,383,366.359985351562,367.690002441406,1054900,364.678009033203
"2019-04-17",366.959991455078,368.019989013672,342.019989013672,342.970001220703,1978400,340.160522460938
"2019-04-18",346.399993896484,347.549987792969,332.220001220703,333.339996337891,1920400,330.609375
"2019-04-22",332.5,336,329,334.029998779297,921700,331.293701171875
"2019-04-23",335.510009765625,346.640014648438,334.459991455078,344.140014648438,972700,341.320953369141
"2019-04-24",344.429992675781,346.320007324219,338.670013427734,340.459991455078,850700,337.671020507812
"2019-04-25",340.380004882812,351.899993896484,337.660003662109,349.989990234375,891200,347.122955322266
"2019-04-26",351.25,351.670013427734,339.609985351562,343.660003662109,846000,340.844848632812
"2019-04-29",343.130004882812,345.980010986328,338.619995117188,344.149993896484,598100,341.330780029297
"2019-04-30",343.799987792969,345.040008544922,337.959991455078,343.140014648438,554800,340.3291015625
"2019-05-01",343.040008544922,345.440002441406,338.910003662109,340.790008544922,503400,337.998321533203
"2019-05-02",342.690002441406,344.290008544922,331.25,335.410003662109,812400,332.662445068359
"2019-05-03",336.980010986328,339.709991455078,334.670013427734,336.890014648438,848300,334.130310058594
"2019-05-06",332.200012207031,344.920013427734,332.200012207031,344.230010986328,916700,341.41015625
"2019-05-07",333,336.5,318.700012207031,322.399993896484,1967300,319.758972167969
"2019-05-08",319.329986572266,329.75,319.329986572266,329,1183700,326.304931640625
"2019-05-09",325.790008544922,327.359985351562,320.739990234375,324.170013427734,864100,321.514495849609
"2019-05-10",323.559997558594,323.809997558594,311.350006103516,312.859985351562,1407500,310.297149658203
"2019-05-13",306.670013427734,309.299987792969,299.109985351562,305.149993896484,1153600,302.650299072266
"2019-05-14",306.350006103516,309.190002441406,303.589996337891,304.619995117188,836900,302.124603271484
"2019-05-15",301.950012207031,306.269989013672,297.320007324219,305.850006103516,784100,303.344543457031
"2019-05-16",306.220001220703,314.059997558594,304,308.040008544922,1049100,305.516632080078
"2019-05-17",305.799987792969,309.209991455078,303.700012207031,304.940002441406,756000,302.441986083984
"2019-05-20",301.519989013672,304.570007324219,297.269989013672,302.570007324219,738600,300.091430664062
"2019-05-21",304.880004882812,314.290008544922,304.880004882812,309.950012207031,999900,307.410980224609
"2019-05-22",308.010009765625,321.489990234375,302.730010986328,320.089996337891,1252700,317.467895507812
"2019-05-23",316.760009765625,318.660003662109,310.369995117188,315.260009765625,934700,312.677459716797
"2019-05-24",316.660003662109,318.809997558594,308.470001220703,312.559997558594,401100,309.999572753906
"2019-05-28",313.380004882812,315.790008544922,307.700012207031,307.929992675781,718300,305.407531738281
"2019-05-29",307.089996337891,310.670013427734,302.779998779297,307.779998779297,627100,305.258728027344
"2019-05-30",308.609985351562,310.359985351562,302.880004882812,307.959991455078,627800,305.437255859375
"2019-05-31",305.980010986328,306.450012207031,295.730010986328,301.720001220703,863500,299.248382568359
"2019-06-03",301.130004882812,309.739990234375,301.130004882812,303.950012207031,670200,301.460174560547
"2019-06-04",306.029998779297,309.420013427734,300.579986572266,302.059997558594,844600,299.585601806641
"2019-06-05",304.839996337891,304.950012207031,295.269989013672,300,979900,297.54248046875
"2019-06-06",300.119995117188,304.529998779297,298.730010986328,299.600006103516,767600,297.145751953125
"2019-06-07",302.079986572266,307,297.859985351562,306.720001220703,775500,304.207458496094
"2019-06-10",306.540008544922,310.920013427734,303.510009765625,304.25,726000,301.757659912109
"2019-06-11",306.880004882812,309.619995117188,306.230010986328,306.839996337891,554900,304.326446533203
"2019-06-12",306.829986572266,309.470001220703,305.25,306.160003662109,556000,303.652008056641
"2019-06-13",307.179992675781,308.190002441406,302.320007324219,307.420013427734,653900,304.901702880859
"2019-06-14",306.809997558594,315.200012207031,304,305.239990234375,624200,302.739593505859
"2019-06-17",307.339996337891,312.920013427734,301.760009765625,310.980010986328,587900,308.432556152344
"2019-06-18",311.100006103516,317.839996337891,305.760009765625,306.630004882812,1001000,304.1181640625
"2019-06-19",306.339996337891,311.899993896484,303.769989013672,310.829986572266,971200,308.283782958984
"2019-06-20",315.700012207031,327.829986572266,315.25,320.480010986328,1617100,317.854705810547
"2019-06-21",324.260009765625,324.260009765625,312,320.260009765625,1493700,317.636505126953
"2019-06-24",318.760009765625,320.320007324219,311.260009765625,312.549987792969,780700,309.989654541016
"2019-06-25",313.130004882812,317.420013427734,311.839996337891,312.899993896484,702200,310.336791992188
"2019-06-26",313.25,316.649993896484,300.519989013672,305.079986572266,1005000,302.580841064453
"2019-06-27",306.239990234375,311.570007324219,304.070007324219,310.670013427734,564700,308.125122070312
"2019-06-28",312.119995117188,316.25,311.239990234375,313,1499000,310.435974121094
"2019-07-01",317.609985351562,318.600006103516,313.149993896484,316.559997558594,688700,313.966827392578
"2019-07-02",317.619995117188,320.429992675781,313,315.529998779297,758200,312.945251464844
"2019-07-03",317.420013427734,320.359985351562,312.529998779297,318.390014648438,545000,315.781860351562
"2019-07-05",316.149993896484,320.760009765625,306.079986572266,307,799600,304.485168457031
"2019-07-08",305.100006103516,305.859985351562,296.809997558594,302.839996337891,928800,300.359191894531
"2019-07-09",300.920013427734,308.390014648438,300,307.970001220703,789800,305.447174072266
"2019-07-10",308.149993896484,309.839996337891,291.660003662109,301.429992675781,1533800,298.960754394531
"2019-07-11",296.989990234375,296.989990234375,288,291.820007324219,1414200,289.429504394531
"2019-07-12",292.119995117188,295.489990234375,287.660003662109,292.559997558594,648400,290.163421630859
"2019-07-15",292.980010986328,300.339996337891,289.529998779297,298.200012207031,875900,295.757232666016
"2019-07-16",299.190002441406,299.690002441406,295.779998779297,298.369995117188,492500,295.925842285156
"2019-07-17",297.260009765625,303.299987792969,297.079986572266,299.420013427734,646300,296.967254638672
"2019-07-18",299.790008544922,304.200012207031,297.200012207031,303.089996337891,548000,300.607177734375
"2019-07-19",303.519989013672,303.679992675781,296.350006103516,298.109985351562,692700,295.667938232422
"2019-07-22",298.200012207031,300.320007324219,294.700012207031,296.519989013672,609000,294.090942382812
"2019-07-23",298.339996337891,310.869995117188,296.910003662109,309.260009765625,992100,306.726654052734
"2019-07-24",310.869995117188,314.290008544922,303.589996337891,313.630004882812,1144900,311.060852050781
"2019-07-25",311.119995117188,311.519989013672,302.920013427734,303.420013427734,679500,300.934478759766
"2019-07-26",304.350006103516,309.730010986328,300.609985351562,309.179992675781,956700,306.647308349609
"2019-07-29",314.5,314.950012207031,302.809997558594,306.040008544922,691600,303.532989501953
"2019-07-30",304.309997558594,311.269989013672,303.519989013672,311.130004882812,512700,308.581329345703
"2019-07-31",309.799987792969,312.260009765625,301.200012207031,304.760009765625,690600,302.263519287109
"2019-08-01",306.679992675781,313.929992675781,304.609985351562,309.429992675781,704200,306.895202636719
"2019-08-02",308.950012207031,311.109985351562,303.059997558594,305.239990234375,506500,302.739593505859
"2019-08-05",302.149993896484,304,296.519989013672,299.570007324219,845300,297.115997314453
"2019-08-06",304.480010986328,306,293.399993896484,300.260009765625,1188200,297.800354003906
"2019-08-07",297.660003662109,304.609985351562,294.010009765625,302.220001220703,811600,299.744323730469
"2019-08-08",303.119995117188,310.079986572266,303.119995117188,309.869995117188,694000,307.331604003906
"2019-08-09",308.839996337891,310.179992675781,299.980010986328,304.890014648438,537200,302.392425537109
"2019-08-12",298.640014648438,305.100006103516,295.609985351562,295.869995117188,543400,293.446319580078
