"Date","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"2020-05-19",57.2599983215332,58.9199981689453,54.1599998474121,56.8699989318848,7025000,40.3845405578613
"2020-05-20",58.5900001525879,59.3600006103516,54.9599990844727,55.6699981689453,7010000,39.5324058532715
"2020-05-21",55.560001373291,57.310001373291,54.5999984741211,56,6061100,39.7667350769043
"2020-05-22",56.2299995422363,56.4000015258789,53.8800010681152,54.5900001525879,5301500,38.7654647827148
"2020-05-26",58,59.5200004577637,56.9000015258789,59.25,10442100,42.0746269226074
"2020-05-27",62.5499992370605,63.2999992370605,59.4300003051758,63.189998626709,9220000,44.872501373291
"2020-05-28",63.6500015258789,63.7900009155273,58.8600006103516,59.75,7862000,42.4296875
"2020-05-29",57.6800003051758,59.3800010681152,56.3600006103516,57.7000007629395,8489700,40.9739418029785
"2020-06-01",57.310001373291,61.7999992370605,56.8600006103516,61.5999984741211,6494900,43.7434158325195
"2020-06-02",62.9900016784668,64.4899978637695,62.439998626709,63.4500007629395,7797600,45.0571365356445
"2020-06-03",65.6999969482422,74.7900009155273,65.5,72.879997253418,17321700,51.7535629272461
"2020-06-04",75.120002746582,77.8499984741211,69.6399993896484,76.7300033569336,17516800,54.4875259399414
"2020-06-05",83.3899993896484,92.9599990844727,83.3600006103516,88.5999984741211,23237100,62.9166564941406
"2020-06-08",94.879997253418,95.5599975585938,89.129997253418,95.5,15401100,67.8164901733398
"2020-06-09",88,90.3199996948242,83.7399978637695,86.4700012207031,12537800,61.4041023254395
"2020-06-10",87.5599975585938,87.5599975585938,78,83.0100021362305,15585400,58.9470901489258
"2020-06-11",71.6900024414062,78.6500015258789,70.4000015258789,71.9199981689453,13082500,51.0718460083008
"2020-06-12",77.75,78.1999969482422,72.8199996948242,75.9800033569336,10647500,53.9549407958984
"2020-06-15",71.870002746582,75.8600006103516,70.8199996948242,74.3899993896484,9850000,52.825855255127
"2020-06-16",80.9499969482422,81.2900009155273,74.5899963378906,75.5199966430664,11006200,53.6282958984375
"2020-06-17",75.3099975585938,75.3499984741211,71.5100021362305,71.6699981689453,8312400,50.8943176269531
"2020-06-18",70.0100021362305,72.4499969482422,68.5800018310547,70.9599990844727,8103300,50.3901405334473
"2020-06-19",72.5,72.5100021362305,67,67.120002746582,13314800,47.6632766723633
"2020-06-22",66.3499984741211,68.8399963378906,65.0899963378906,68.5500030517578,6269600,48.6787528991699
"2020-06-23",69.3899993896484,72.1100006103516,69.379997253418,70.129997253418,6921700,49.8007392883301
"2020-06-24",67.9300003051758,68.1699981689453,62.6599998474121,65.1100006103516,10487700,46.2359352111816
"2020-06-25",63.2900009155273,66.629997253418,63.0299987792969,64.9400024414062,7432000,46.1152191162109
"2020-06-26",63.8400001525879,64.6900024414062,61.4500007629395,61.9000015258789,11016500,43.9564437866211
"2020-06-29",62.6399993896484,68.1800003051758,61.2900009155273,68.129997253418,9412900,48.380500793457
"2020-06-30",71.3600006103516,71.5,67.5699996948242,68.379997253418,10456500,48.5580253601074
"2020-07-01",69.8000030517578,72.9300003051758,69.2399978637695,69.8099975585938,7979600,49.5735054016113
"2020-07-02",71.8099975585938,72.9599990844727,68.6800003051758,68.8099975585938,6470600,48.8633804321289
"2020-07-06",69.7200012207031,70.5899963378906,67.0100021362305,68.9300003051758,6075600,48.9485855102539
"2020-07-07",67.5,67.6600036621094,65.5599975585938,65.9300003051758,5294900,46.818229675293
"2020-07-08",66,66.8000030517578,64.379997253418,65.7099990844727,6884900,46.6620063781738
"2020-07-09",64.25,64.4000015258789,59.8699989318848,61.0200004577637,9286300,44.2061157226562
"2020-07-10",60.5,64.2399978637695,60.310001373291,63.9799995422363,5824100,46.3504943847656
"2020-07-13",64.7799987792969,65.1399993896484,62.2000007629395,63.689998626709,5124300,46.1403999328613
"2020-07-14",63.0800018310547,63.9599990844727,61.3699989318848,61.9300003051758,5240500,44.865364074707
"2020-07-15",64.5400009155273,66.7200012207031,63.8300018310547,66.5899963378906,7163100,48.2413101196289
"2020-07-16",65,65.6100006103516,62.5999984741211,62.9000015258789,5227200,45.5680847167969
"2020-07-17",62.7900009155273,63.560001373291,62.0800018310547,62.4000015258789,4932300,45.2058639526367
"2020-07-20",62.1500015258789,62.3899993896484,60.1199989318848,60.4199981689453,5644400,43.7714424133301
"2020-07-21",60.9799995422363,62.3800010681152,60.3899993896484,60.9500007629395,5207900,44.1554069519043
"2020-07-22",61.060001373291,62.1399993896484,60.1199989318848,62.0299987792969,4059700,44.937801361084
"2020-07-23",61.0200004577637,62.689998626709,60.6100006103516,61.7999992370605,3274200,44.7711791992188
"2020-07-24",61.5999984741211,62.2799987792969,60.2999992370605,60.5699996948242,3115400,43.8801078796387
"2020-07-27",60.4700012207031,61.9799995422363,59.0299987792969,61.9599990844727,4299800,44.887092590332
"2020-07-28",61.5699996948242,65.0699996948242,61.3499984741211,64.1399993896484,5328400,46.4664077758789
"2020-07-29",64.5899963378906,65.629997253418,62.6500015258789,65.5899963378906,3809600,47.5168609619141
"2020-07-30",63.5,64.5999984741211,62.6199989318848,63.6199989318848,3311300,46.0896911621094
"2020-07-31",63.310001373291,63.9000015258789,61.5,62.3499984741211,5134400,45.1696357727051
"2020-08-03",61.2099990844727,61.7900009155273,59.9099998474121,61.0299987792969,4149800,44.2133483886719
"2020-08-04",61.2299995422363,63.6300010681152,61.0699996948242,62.9900016784668,4097700,45.6332778930664
"2020-08-05",63.8699989318848,64.5800018310547,62.2700004577637,62.5,3380800,45.2782974243164
"2020-08-06",62.7099990844727,62.7099990844727,61.189998626709,61.2000007629395,4865100,44.3365058898926
"2020-08-07",61.1800003051758,62.5400009155273,60.5099983215332,62.189998626709,6391300,45.0537223815918
"2020-08-10",65.2200012207031,69.1600036621094,63.8199996948242,65.4700012207031,18253800,47.4299278259277
